id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818.0,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,66.0,3,398,2025-03-01,2.05,1,10,31,0363 5F3A 5684 6750 D14D
28871.0,Comfortable double room,124245,Edwin,Centrum-West,52.36775,4.89092,Private room,75.0,2,677,,3.83,2,84,94,0363 607B EA74 0BD8 2F6F
29051.0,Comfortable single room,124245,Edwin,Centrum-Oost,52.36584,4.89111,Private room,59.0,2,794,2025-02-03,4.67,2,84,85,0363 607B EA74 0BD8 2F6F
49552.0,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Centrum-West,52.38028,4.89089,Entire home/apt,259.0,3,578,2025-11-02,3.31,1,197,57,0363 576A D827 5085 6B83
50263.0,Cent Adam de Lux 2 bedrooms (4p) apt 125 sqm,230246,Donald,Centrum-Oost,52.37118,4.93146,Entire home/apt,404.0,3,166,,0.95,1,349,7,0363 7F3D 0BAE 28C8 C7D2
50515.0,"Family Home (No drugs, smoking or parties)",231864,Karin,Bos en Lommer,52.37559,4.83857,Entire home/apt,229.0,7,18,,0.14,1,83,5,0363 5DDB E495 A6D5 CEC6
50523.0,B & B de 9 Straatjes (city center),231946,Raymond,Centrum-West,52.36811,4.88262,Entire home/apt,150.0,2,516,2025-12-02,2.99,1,179,68,0363 22DC 0E52 B70B 0FB8
62015.0,"Charming, beautifully & sunny place",301340,Jessica,Oud-Oost,52.36431,4.93122,Entire home/apt,200.0,2,38,,0.22,1,28,2,0363 B090 499C D757 7F4F
97221.0,Beautiful and spacious room,195859,Gianni,Slotervaart,52.34801,4.83639,Private room,56.0,2,389,,2.34,2,292,64,0363 BCBA 6311 3268 DC8C
137026.0,Entire house with garden in De Pijp,670266,Ton & Fede,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,315.0,2,109,2024-03-11,0.68,1,163,5,0363 67D6 8568 BA8A F738
158633.0,"Typical Dutch house, quiet area, close to centre",761321,Marlouke,Noord-Oost,52.39364,4.94538,Entire home/apt,279.0,3,17,,0.1,1,61,3,0363 D141 1024 C60E 96BA
179528.0,Authentic Amsterdam apartment RAI,856540,Pierre,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,298.0,10,36,,0.22,2,207,3,0363 1C26 67B4 C610 1758
188347.0,"Well-lit, Cozy Room in Amsterdam West",907405,Yahav,De Baarsjes - Oud-West,52.3683,4.85446,Private room,55.0,3,452,,2.74,1,52,49,0363 7C68 38F7 176D 8CDF
189754.0,Metropolitan B&B centre Amsterdam,915591,Marijn,Centrum-West,52.37548,4.89398,Entire home/apt,208.0,2,395,,2.41,1,182,48,0363 08BD B22D FCC2 5F83
245927.0,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,Centrum-West,52.36815,4.88604,Entire home/apt,279.0,2,254,,1.62,1,279,43,0363 E3FA A6F6 2112 7636
247805.0,"Bellavista, central,with canal view",1298735,Carolien,De Baarsjes - Oud-West,52.36707,4.87348,Private room,116.0,2,527,,3.26,1,48,70,0363 157A 14AF 5451 77C3
255809.0,Stylish apartment free carpark,1344947,André Charles,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,186.0,2,245,,1.57,1,234,51,0363 A842 020A 9193 B416
283170.0,5-bedrooms house; central location; free parking,1451657,Marco,Zuid,52.35435,4.87316,Entire home/apt,1190.0,2,129,,0.82,1,270,4,0363 0240 34A0 48C3 6D81
286500.0,"Centre, canal view with private bathroom",1491565,David,Centrum-West,52.37561,4.9,Private room,147.0,3,401,,2.52,2,181,29,0363 DF01 FBC0 496B 9730
290701.0,"Central, big window, rear room with private bath.",1491565,David,Centrum-West,52.37561,4.9,Private room,147.0,3,485,,3.06,2,216,38,0363 DF01 FBC0 496B 9730
291752.0,Cozy & large bohemian style room,1511330,Ton,Oud-Oost,52.35179,4.91082,Private room,150.0,3,271,2024-09-10,1.69,1,297,18,0363 6ACC BA1B 12A9 60C1
304082.0,"Private, quiet studio in the centre with terrace",276068,Mirre,Centrum-West,52.37239,4.89657,Entire home/apt,165.0,3,344,,2.18,1,218,50,0363 6C40 7413 ADD3 9AF8
306852.0,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,Centrum-Oost,52.35931,4.89844,Entire home/apt,234.0,4,32,2023-01-04,0.21,3,0,0,0363 33C3 B936 3911 FC42
307497.0,Historical sailing ship Amsterdam,1582128,Jorn,Westerpark,52.39185,4.8869,Entire home/apt,385.0,2,103,2024-12-05,0.68,2,241,1,Exempt
307621.0,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,Centrum-Oost,52.35871,4.89616,Entire home/apt,133.0,3,6,,0.04,3,0,0,0363 33C3 B936 3911 FC42
308028.0,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,Centrum-Oost,52.35972,4.8975,Private room,100.0,3,36,,0.27,3,0,0,0363 33C3 B936 3911 FC42
311124.0,*historic centre* *bright* *canal view* *Jordaan*,1600010,Anke & Robert,Centrum-West,52.37104,4.87713,Entire home/apt,325.0,5,96,2025-02-01,0.61,1,342,6,0363 59D8 7D30 6CFA DC81
327285.0,beautiful designed ap.+bikes+garden+boat!,1672823,Ester,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,197.0,3,732,,4.63,1,67,92,0363 8A88 B129 62B5 BD4E
331946.0,great family house only suitable for fam with kids,1687595,Sebastiaan,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,275.0,2,35,2025-02-01,0.25,1,5,7,0363 A942 21DC C431 1AD1
343094.0,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,Oud-Oost,52.35715,4.90926,Private room,104.0,5,565,,3.61,1,164,45,0363 FC71 F7DB 3AB4 3C42
357980.0,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245.0,3,137,2024-12-08,0.87,1,25,4,0363 799F 0610 C059 F9F4
359298.0,Sunny Roof Top in Beautiful Area,1817922,Olly & Josh,Centrum-Oost,52.36427,4.91063,Entire home/apt,171.0,2,112,2025-04-01,0.71,1,39,10,0363 2C03 2839 16EE 011F
367107.0,"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Marijn,Centrum-Oost,52.36263,4.90216,Entire home/apt,299.0,5,21,,0.18,1,315,2,0363 1761 5C93 2C93 93FE
379885.0,Private Studio Houseboat *BEST VIEW* @Amstel,1907015,Masha,De Pijp - Rivierenbuurt,52.35464777,4.906100814,Private room,164.0,3,94,,0.6,1,185,0,0363 3FE4 07B5 85AA 55F8
414865.0,"Charming house, perfect for two!",2063261,Miranda,Zuid,52.35043,4.84676,Entire home/apt,180.0,4,11,2024-11-08,0.09,1,17,2,0363 DC39 26C1 3541 47BF
415619.0,Sunny Amsterdam East Harbor View,1336633,Stephan,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,123.0,2,87,,0.56,1,61,6,0363 09A6 8FFA 6EC4 805F
440992.0,Charming houseboat near Olympic St.,2191136,Jan,Zuid,52.341621,4.849049,Entire home/apt,170.0,3,134,,0.86,1,64,6,0363 6532 4C0A A235 9114
441424.0,Family house in centre of Amsterdam,2193861,Marco,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,157.0,4,43,2025-01-01,0.28,1,12,3,0363B9396B464F7B165A
450767.0,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,Centrum-Oost,52.37006,4.90081,Entire home/apt,312.0,3,302,,2.0,2,194,64,0363 DB37 0A9B 68B2 4474
462341.0,Central 17th Century Unique House,2297302,Milen & Joes,Centrum-West,52.3739,4.89263,Entire home/apt,224.0,5,48,,0.4,1,5,5,0363 C83F 9271 BA8F 23ED
496953.0,Luxury design B&B in city centre,2453971,Kim,De Baarsjes - Oud-West,52.36385,4.87483,Private room,250.0,1,28,,0.18,1,89,0,0363 A70C E031 9597 F8A8
505012.0,"Amsterdam centrum, perfect familiehuis",1645998,Djoke,Centrum-Oost,52.36412,4.88757,Entire home/apt,630.0,3,61,2023-10-05,0.41,1,29,0,0363 5F8A A57B 18E0 63BB
507598.0,Canal View Apartment! Jordaan Area,2501656,Stephanie,Centrum-West,52.37694,4.88003,Entire home/apt,500.0,2,62,,0.4,1,81,0,0363 E6C4 FEF6 F27C DCF5
515088.0,Familyfriendly Suite incl breakfast,2536879,Hansje,Noord-Oost,52.39675,4.99603,Entire home/apt,217.0,2,1,2019-10-03,0.01,1,365,0,0363 0A94 AAA2 B228 0695
515921.0,Apartment near centre with amazing view over city,2541099,Anne-Marie,Zuid,52.35022,4.8525,Entire home/apt,207.0,3,100,,0.65,1,118,6,0363 676E D52D A47D 768A
517996.0,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,Centrum-West,52.37827,4.88568,Entire home/apt,255.0,3,30,,0.2,1,172,3,0363 7EFC D96F 5878 3F49
528022.0,Somewhere Else,2594559,Els,Westerpark,52.39114,4.88846,Private room,125.0,2,330,,3.22,1,237,39,0363 9289 A94D 5C21 A579
549310.0,Two-bedrooms Apartment with Garden in town,2699033,Barbara,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,315.0,1,62,,0.53,1,3,3,0363 35CD 76C9 04D4 1A21
553514.0,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,Westerpark,52.38444,4.86916,Entire home/apt,69.0,2,162,,1.09,1,151,0,0363 AD82 ADCF 17F3 C3EA
556829.0,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,125.0,3,28,,0.18,2,29,1,0363 957A 9061 D805 A3EC
570753.0,Southern Comfort near Vondelpark,2439449,Henriette,Zuid,52.34904,4.86765,Private room,105.0,4,391,,2.55,1,198,6,0363 7215 8083 16CB E805
579851.0,Private Studio on Spectacular Houseboat,2851886,Sonja,Westerpark,52.39144,4.88436,Private room,128.0,2,617,,4.09,1,9,37,0363 74BB 1569 D1B7 ADBE
582028.0,GREAT Full family apartment with great park view,2865851,Oliver,Slotervaart,52.36022,4.84346,Entire home/apt,187.0,3,12,,0.09,1,40,0,0363 6AE3 C6BD AA79 AB13
588020.0,Large 3 bedroom apartment surrounde,1759884,Ivan,Centrum-Oost,52.36918,4.91316,Entire home/apt,427.0,3,365,2025-11-02,2.98,2,214,57,Exempt
590236.0,Our Cozy Third floor Home,2912339,Kelli,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,150.0,3,57,2025-02-01,0.38,1,211,6,0363 058A D932 3063 B1F7
590386.0,amazing apartment in Amsterdam!!,2913467,Ido,Watergraafsmeer,52.35567,4.93175,Entire home/apt,170.0,7,8,2024-09-08,0.05,1,11,1,0363 A0F4 086A 0905 8765
591951.0,House on waterfront in Amsterdam,2580855,Martine,Bijlmer-Oost,52.32582,4.98403,Entire home/apt,285.0,1,64,,0.42,1,361,0,0363 5BAB 71FE 97EC 530D
606871.0,Modern Houseboat | Jordaan area | A unique stay!,3007402,Diewert,Westerpark,52.37621,4.87075,Private room,128.0,1,578,,4.02,1,288,84,0363 48AF 9151 13B6 2543
608432.0,Sleep at Amy's B'n'B Front Room,3015785,Erik And Mary Jo,Centrum-West,52.381996,4.888583,Private room,85.0,1,956,,6.26,2,38,90,0363 AACD 8155 9F76 50DA
613088.0,Your own cottage in the countryside,3040748,Henk,Noord-Oost,52.41016,4.96369,Private room,91.0,2,415,,2.72,8,61,0,0363 C2FC D0FB 68D9 2F58
620056.0,"Light, spacious apartment in cool Westerpark area",2782084,Marieke,Westerpark,52.3884,4.87148,Entire home/apt,212.0,3,34,,0.22,1,83,5,0363 2FF0 BE81 5B19 5B5A
623123.0,Beautiful and spacious apartment with big rooftop,2695123,Janne,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,378.0,3,34,2024-11-08,0.22,1,24,4,0363 C125 F449 C407 9F89
627188.0,Sleep at Amy's B'n'B Garden Room,3015785,Erik And Mary Jo,Centrum-West,52.381996,4.888583,Private room,91.0,1,654,,4.27,2,38,53,0363 AACD 8155 9F76 50DA
634170.0,"'Westerpark Sanctuary', Office-Apt. across W-Park.",3078488,Carolina,Westerpark,52.38388,4.86562,Entire home/apt,112.0,91,148,,0.97,1,183,0,Exempt
638555.0,Sunrise View Houseboat,2531171,Carmen,Oostelijk Havengebied - Indische Buurt,52.37696,4.94073,Entire home/apt,420.0,2,19,,0.13,1,11,0,0363 754F 45F4 E4AC 3994
654931.0,"A-location, ensuite bathroom, centre - Milkmaid -",3278419,Matthijs,Centrum-West,52.37167,4.8948,Hotel room,132.0,1,989,,6.52,2,206,85,0363 4587 2DC3 051C 3FCA
660856.0,Entire house / 4 floors art-filled family-friendly,3336575,Maaike,Watergraafsmeer,52.3551,4.93262,Entire home/apt,395.0,4,42,,0.28,1,7,2,0363 528E 3889 FA20 43A1
664697.0,Design Waterfront flat near station,1406783,Alicia,Oud-Noord,52.38537,4.90241,Entire home/apt,87.0,30,62,,0.41,2,274,0,Exempt
667305.0,"Green, sportive experience in A'dam",3375589,Fred Alexander,Noord-West,52.41878,4.89397,Entire home/apt,189.0,5,43,,0.3,1,350,6,0363 1466 FFED D078 9856
683431.0,Nice Room near to RAI and downtown,2309485,Ned,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,81.0,1,721,,5.59,1,116,67,0363 0BD4 E0F6 EDD1 59C7
685990.0,Room privacy near centre Amsterdam,3498674,Nadia,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,66.0,4,416,,2.74,2,314,40,0363 E7AB 3034 7C9C 1348
689623.0,City beach apartment,2272095,Katinka,Centrum-Oost,52.3737,4.92581,Entire home/apt,120.0,14,95,2025-02-01,0.66,1,43,6,0363 4EFA 63D8 DADD 844A
693675.0,2 rooms in beautiful appartment near Vondelpark,3548522,Susanne,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,86.0,1,11,2018-02-09,0.08,3,0,0,0363 8350 2AA2 28A1 C258
696113.0,Fabulous design at the park & lake.,3564543,Daniel,IJburg - Zeeburgereiland,52.36158,4.97639,Entire home/apt,233.0,6,26,,0.17,1,200,2,0363 E46F 1FD2 518B BF66
708528.0,Independent Studio in 'De Pijp',3644216,Jeremie,De Pijp - Rivierenbuurt,52.35537,4.89477,Private room,171.0,3,258,,2.32,1,27,20,0363 98FB 79D3 2FEE 28D8
728144.0,Beautiful loft in center Amsterdam,3775786,Aren,Centrum-Oost,52.36112,4.89632,Entire home/apt,528.0,2,147,2024-09-09,0.98,1,66,9,0363 5EC5 F20A E363 206D
729260.0,Great location modern apartment,3788198,Martin,Centrum-West,52.38079,4.88536,Entire home/apt,184.0,2,105,,0.7,1,158,3,0363 F6EF 50E3 40EB 1CFB
729317.0,Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Laurens En Petra,Centrum-Oost,52.36052,4.89568,Private room,129.0,3,193,2025-01-01,2.01,2,137,38,0363 EC5F 15FE 498F 9173
740616.0,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,Centrum-Oost,52.36256,4.9108,Private room,89.0,3,77,,0.51,1,30,0,0363 52AD E309 9B3D 72F7
741043.0,Modern  stylish villa: My Amsterdam Houseboat,3877342,Nicole,Westerpark,52.37654,4.87003,Entire home/apt,687.0,2,80,,0.54,3,253,16,0363 96BE 3082 7DDB 9575
742160.0,Historical sailing ship in the center of Amsterdam,1582128,Jorn,Centrum-Oost,52.36866,4.92071,Entire home/apt,385.0,2,146,2025-02-03,0.99,2,242,15,Exempt
744659.0,Private luxury B&B near Amstel,3518386,Kristel,Oud-Oost,52.35659,4.90827,Private room,143.0,2,335,,2.23,1,213,59,0363 C453 AB43 D5F5 6DAC
747847.0,nice cozy room near Vondelpark,3548522,Susanne,De Baarsjes - Oud-West,52.36131,4.8519,Private room,60.0,2,40,,0.29,3,1,0,0363 8350 2AA2 28A1 C258
754613.0,Canal house - Heart of Amsterdam,3970753,Take & Eline,Centrum-Oost,52.37266,4.90456,Entire home/apt,264.0,3,470,2025-02-03,3.2,1,238,59,0363 DBD3 72A7 CE0C B37C
755431.0,A special spot near the Jordaan ideal for two,3975477,Anna And Robert,De Baarsjes - Oud-West,52.37066,4.87405,Private room,120.0,2,344,,2.46,1,159,60,0363 FB2E 260E BE6C 44C2
